,Rank,Institution,Location,Continent,Founded,Affiliation,Delivery_Method,Enrollment,Link,location_city,location_country,updated_year
72,72,Liberty University,"Virginia, United States",North America,1971,Private,Distance/In-Person,110000,https://en.wikipedia.org/wiki/Liberty_University,Virginia,United States,2025
73,73,University of Toulouse,"Toulouse, France",Europe,1229,Public,In-Person,110000,https://en.wikipedia.org/wiki/University_of_Toulouse,Toulouse,France,2025
74,74,Université du Québec,"Quebec, Canada",North America,1968,Public,In-Person/Distance,101915,https://en.wikipedia.org/wiki/Universit%C3%A9_du_Qu%C3%A9bec,Quebec,Canada,2025
75,75,Virtual University of Pakistan,"Lahore, Islamabad, Pakistan",Asia,2002,Public,Distance,100000,https://en.wikipedia.org/wiki/Virtual_University_of_Pakistan,"Lahore, Islamabad",Pakistan,2025
76,76,"Vietnam National University, Ho Chi Minh City","Ho Chi Minh City, Vietnam",Asia,1995,Public,In-Person,98648,"https://en.wikipedia.org/wiki/Vietnam_National_University,_Ho_Chi_Minh_City",Ho Chi Minh City,Vietnam,2025
77,77,University of Belgrade,"Belgrade, Serbia",Europe,1808,Public,In-Person,97696,https://en.wikipedia.org/wiki/University_of_Belgrade,Belgrade,Serbia,2025
78,78,University of Vienna,"Vienna, Austria",Europe,1365,Public,In-Person,91715,https://en.wikipedia.org/wiki/University_of_Vienna,Vienna,Austria,2025
79,79,Monterrey Institute of Technology and Higher Education,"Monterrey, Nuevo León, Mexico",North America,1943,Private,In-Person,91200,"https://en.wikipedia.org/wiki/Monterrey_Institute_of_Technology_and_Higher_Education,_Chihuahua","Monterrey, Nuevo León",Mexico,2025
80,80,University of Toronto,"Toronto, Canada",North America,1827,Public,In-Person,88766,https://en.wikipedia.org/wiki/University_of_Toronto,Toronto,Canada,2025
81,81,Aristotle University of Thessaloniki,"Thessaloniki, Greece",Europe,1925,Public,In-Person,88283,https://en.wikipedia.org/wiki/Aristotle_University_of_Thessaloniki,Thessaloniki,Greece,2025
82,82,Polytechnic University of the Philippines,Philippines,Asia,1904,Public,Distance/In-Person,83328,https://en.wikipedia.org/wiki/Polytechnic_University_of_the_Philippines,Not Available,Philippines,2025
83,83,Complutense University of Madrid,"Madrid, Spain",Europe,1293,Public,In-Person,83000,https://en.wikipedia.org/wiki/Complutense_University_of_Madrid,Madrid,Spain,2025
84,84,Farhangian University,Iran,Asia,2012,Public,In-Person,80000,https://en.wikipedia.org/wiki/Farhangian_University,Not Available,Iran,2025
85,85,Aix-Marseille University,"Marseille, France",Europe,1409,Public,In-Person,80000,https://en.wikipedia.org/wiki/Aix-Marseille_University,Marseille,France,2025
86,86,University of Hagen,"Hagen, Germany",Europe,1974,Public,Distance,69982,https://en.wikipedia.org/wiki/University_of_Hagen,Hagen,Germany,2025
87,87,Université de Montréal,Canada,North America,1878,Public,Distance/In-Person,67109,https://en.wikipedia.org/wiki/Universit%C3%A9_de_Montr%C3%A9al,Not Available,Canada,2025
88,88,University of the Philippines,Philippines,Asia,1908,Public,Distance/In-Person,64144,https://en.wikipedia.org/wiki/University_of_the_Philippines,Not Available,Philippines,2025
89,89,"Academic Center for Education, Culture and Research",Iran,Asia,1980,Private,In-Person,60000,"https://en.wikipedia.org/wiki/Academic_Center_for_Education,_Culture_and_Research",Not Available,Iran,2025
